faixa_etaria,genero,etnia,idade,pcd,xp_profissional_prejudicada,uf_residencia,nivel_ensino,area_formacao,situacao_trabalho,cargo_atual,faixa_salarial,tempo_experiencia_dados,satisfacao_remuneracao,importancia_salario_escolha_emprego,satisfacao_beneficios,importancia_beneficios_escolha_emprego
17-21,Masculino,Branca,20,Não,,PR,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analista de BI/BI Analyst,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,,1.0,,0.0
17-21,Masculino,Parda,20,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,AP,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Servidor Público,Analista de Dados/Data Analyst,Menos de R$ 1.000/mês,Não tenho experiência na área de dados,1.0,0.0,0.0,0.0
17-21,Masculino,Branca,20,Não,,GO,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Engenheiro de Machine Learning/ML Engineer/AI Engineer,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,,0.0,,1.0
17-21,Feminino,Branca,20,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,RJ,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analista de Dados/Data Analyst,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,,1.0,,0.0
17-21,Feminino,Parda,20,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,DF,Doutorado ou Phd,Outra opção,Prefiro não informar,Outra Opção,Menos de R$ 1.000/mês,Não tenho experiência na área de dados,0.0,0.0,0.0,0.0
17-21,Masculino,Branca,20,Não,,SP,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Engenheiro de Dados/Data Engineer/Data Architect,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,,1.0,,0.0
17-21,Masculino,Preta,20,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",SP,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Estagiário,Analista de Dados/Data Analyst,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,0.0,1.0,0.0,0.0
17-21,Masculino,Branca,20,Não,,SP,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Estagiário,Analista de Dados/Data Analyst,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,,1.0,,0.0
17-21,Feminino,Branca,20,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,MG,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Estagiário,Analista de Dados/Data Analyst,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,0.0,1.0,0.0,0.0
17-21,Masculino,Parda,20,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,PR,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Analista de BI/BI Analyst,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,,1.0,,1.0
